split,organ,argmax_count,argmax_percent,target_mass
train,lung_epithelium,1141,0.5382075471698113,1140.0
train,liver,578,0.27264150943396226,489.10028076171875
train,muscle,294,0.13867924528301886,295.0
train,spleen,0,0.0,63.10002136230469
train,bone_marrow,80,0.03773584905660377,80.0
train,heart,0,0.0,8.599996566772461
train,lung,0,0.0,8.599996566772461
train,kidney,0,0.0,8.599996566772461
train,ear,27,0.012735849056603774,27.0
valid,lung_epithelium,306,0.5773584905660377,306.0
valid,liver,126,0.23773584905660378,109.99998474121094
valid,muscle,73,0.13773584905660377,73.0
valid,spleen,0,0.0,9.999999046325684
valid,bone_marrow,16,0.03018867924528302,16.0
valid,heart,0,0.0,2.000000238418579
valid,lung,0,0.0,2.000000238418579
valid,kidney,0,0.0,2.000000238418579
valid,ear,9,0.016981132075471698,9.0
test,lung_epithelium,358,0.5399698340874811,357.0
test,liver,146,0.22021116138763197,121.34999084472656
test,muscle,112,0.1689291101055807,113.0
test,spleen,0,0.0,19.35000228881836
test,bone_marrow,34,0.05128205128205128,34.0
test,heart,0,0.0,1.8500001430511475
test,lung,0,0.0,1.8500001430511475
test,kidney,0,0.0,1.6000001430511475
test,ear,13,0.0196078431372549,13.0
