split,lnp_id,num_components,component_types,percents,top_organ,target_pattern,target_lung_epithelium,target_liver,target_muscle,target_spleen,target_bone_marrow,target_heart,target_lung,target_kidney,target_ear
test,1625,4,IL|HL|PEG|CH,0.242194|0.421778|0.0108821|0.325146,lung_epithelium,lung_epithelium:1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2652,4,IL|HL|PEG|CH,0.238933|0.285651|0.0094224|0.465993,lung_epithelium,lung_epithelium:1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,3244,4,IL|HL|PEG|CH,0.5|0.1|0.015|0.385,bone_marrow,bone_marrow:1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test,89,4,IL|HL|PEG|CH,0.5|0.1|0.015|0.385,liver,liver:1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2082,4,IL|HL|PEG|CH,0.602936|0.099412|0.0497521|0.2479,lung_epithelium,lung_epithelium:1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,753,3,IL|HL|CH,0.406091|0.304569|0.28934,muscle,muscle:1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2546,4,IL|HL|PEG|CH,0.503516|0.265783|0.00878848|0.221912,lung_epithelium,lung_epithelium:1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1630,4,IL|HL|PEG|CH,0.562218|0.109606|0.0548541|0.273322,lung_epithelium,lung_epithelium:1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,11,4,IL|HL|PEG|CH,0.5|0.1|0.015|0.385,liver,liver:1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2444,4,IL|HL|PEG|CH,0.428897|0.245803|0.0220283|0.303271,lung_epithelium,lung_epithelium:1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,284,4,IL|HL|PEG|CH,0.35|0.16|0.025|0.465,liver,liver:1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1066,4,IL|HL|PEG|CH,0.35|0.16|0.025|0.465,muscle,muscle:1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1191,4,IL|HL|PEG|CH,0.411798|0.315487|0.0105642|0.262151,lung_epithelium,lung_epithelium:1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1440,4,IL|HL|PEG|CH,0.248855|0.418071|0.0107865|0.322288,lung_epithelium,lung_epithelium:1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,3095,4,IL|HL|PEG|CH,0.5|0.1|0.015|0.385,muscle,muscle:1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,3094,4,IL|HL|PEG|CH,0.5|0.1|0.015|0.385,muscle,muscle:1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2738,4,IL|HL|PEG|CH,0.245078|0.252823|0.0301151|0.471984,lung_epithelium,lung_epithelium:1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2991,4,IL|HL|PEG|CH,0.345117|0.217774|0.0180484|0.41906,liver,liver:1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,1568,4,IL|HL|PEG|CH,0.342737|0.211873|0.053277|0.392113,lung_epithelium,lung_epithelium:1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2427,4,IL|HL|PEG|CH,0.480582|0.081087|0.00847929|0.429851,lung_epithelium,lung_epithelium:1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2737,4,IL|HL|PEG|CH,0.453181|0.0893268|0.00902339|0.448469,lung_epithelium,lung_epithelium:1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,2844,4,IL|HL|PEG|CH,0.378927|0.26731|0.0239558|0.329807,lung_epithelium,lung_epithelium:1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
